i,y,x,M,beta1,beta2,d,N,c,l,y.,x.,s.,R_
1,0.02,0,50,2,1.1,4,50,1,0.5,-0.646139010410337,0,0.646139010410336,-0.0599999999999999
2,0.02,0.02,100,2,1.1,4,50,1,0.5,0.145505377451914,-0.0129450406175457,-0.132560336834368,0.949999999999999
3,0.02,0.04,150,2,1.1,4,50,1,0.5,0.122368212833897,-0.0243795108811419,-0.0979887019527553,1.95999999999999
4,0.02,0.06,200,2,1.1,4,50,1,0.5,0.115710956283722,-0.0356658685518496,-0.0800450877318727,2.96999999999999
5,0.02,0.08,250,2,1.1,4,50,1,0.5,0.11300256402038,-0.0467780213914848,-0.0662245426288955,3.98
6,0.02,0.1,300,2,1.1,4,50,1,0.5,0.111857813549023,-0.0577063397377231,-0.0541514738112997,4.99
7,0.02,0.12,350,2,1.1,4,50,1,0.5,0.111497921308726,-0.0684435939693239,-0.0430543273394022,5.99999999999999
8,0.02,0.14,400,2,1.1,4,50,1,0.5,0.111593280552713,-0.0789830373212883,-0.0326102432314249,7.00999999999999
9,0.02,0.16,450,2,1.1,4,50,1,0.5,0.111980639951581,-0.0893179266044077,-0.0226627133471733,8.01999999999997
10,0.02,0.18,500,2,1.1,4,50,1,0.5,0.112570083328636,-0.0994413542947061,-0.0131287290339301,9.03000000000001
11,0.02,0.2,50,2,1.1,4,50,1,0.5,1.20366791847054,-0.404171743212929,-0.799496175257614,0.0400000000000001
12,0.02,0.22,100,2,1.1,4,50,1,0.5,0.151822444600575,-0.130194548515984,-0.0216278960845909,1.05
13,0.02,0.24,150,2,1.1,4,50,1,0.5,0.132657811852668,-0.134131513816469,0.00147370196380103,2.06
14,0.02,0.26,200,2,1.1,4,50,1,0.5,0.126973549563804,-0.141450568370986,0.0144770188071829,3.07
15,0.02,0.28,250,2,1.1,4,50,1,0.5,0.12477825837504,-0.14945185612989,0.0246735977548504,4.07999999999999
16,0.02,0.3,300,2,1.1,4,50,1,0.5,0.124011485817885,-0.157571332117773,0.0335598462998883,5.08999999999997
17,0.02,0.32,350,2,1.1,4,50,1,0.5,0.123977969683352,-0.165612237885932,0.041634268202581,6.09999999999998
18,0.02,0.34,400,2,1.1,4,50,1,0.5,0.124378012950517,-0.173483905107464,0.0491058921569471,7.10999999999998
19,0.02,0.36,450,2,1.1,4,50,1,0.5,0.125061496506851,-0.181135470664263,0.0560739741574115,8.12
20,0.02,0.38,500,2,1.1,4,50,1,0.5,0.125945166199622,-0.188533567981994,0.0625884017823722,9.12999999999999
21,0.02,0.4,50,2,1.1,4,50,1,0.5,0.428292623838191,-0.353197907361569,-0.0750947164766225,0.14
22,0.02,0.42,100,2,1.1,4,50,1,0.5,0.161402974764932,-0.220664941194076,0.0592619664291436,1.15
23,0.02,0.44,150,2,1.1,4,50,1,0.5,0.145582733266797,-0.218216659166816,0.0726339259000192,2.16
24,0.02,0.46,200,2,1.1,4,50,1,0.5,0.140884107131132,-0.221180611505302,0.0802965043741704,3.17000000000001
25,0.02,0.48,250,2,1.1,4,50,1,0.5,0.139271693583658,-0.225367873742009,0.0860961801583513,4.18
26,0.02,0.5,300,2,1.1,4,50,1,0.5,0.138965966059343,-0.229838844957709,0.0908728788983657,5.18999999999999
