"x","y","beta_d","n"
0,0.2086,1.2,2
0.5523,0.4477,1.2,2
0,0.2818,1.3,2
0.5294,0.4706,1.3,2
0,0.3401,1.4,2
0.5103,0.4897,1.4,2
0,0.3874,1.5,2
0.4942,0.5058,1.5,2
0,0.4267,1.6,2
0.4804,0.5196,1.6,2
0,0.4596,1.7,2
0.4685,0.5315,1.7,2
0,0.4877,1.8,2
0.4581,0.5419,1.8,2
0,0.5119,1.9,2
0.449,0.551,1.9,2
0,0.533,2,1
0.4409,0.5591,2,1
0,0.5515,2.1,2
0.4337,0.5663,2.1,2
0,0.5678,2.2,2
0.4272,0.5728,2.2,2
0,0.5824,2.3,2
0.4213,0.5787,2.3,2
0,0.5954,2.4,1
0.416,0.584,2.4,1
0,0.6072,2.5,2
0.4111,0.5889,2.5,2
0,0.6178,2.6,2
0.4066,0.5934,2.6,2
0,0.6275,2.7,2
0.4025,0.5975,2.7,2
0,0.6363,2.8,2
0.3988,0.6012,2.8,2
0,0.6444,2.9,2
0.3953,0.6047,2.9,2
0,0.6519,3,2
0.3921,0.6079,3,2
